Date,Hour,Price
2023-10-10T22:00Z,1,63.32
2023-10-10T22:00Z,2,25.89
2023-10-10T22:00Z,3,7.58
2023-10-10T22:00Z,4,1.85
2023-10-10T22:00Z,5,2.47
2023-10-10T22:00Z,6,9.16
2023-10-10T22:00Z,7,80.81
2023-10-10T22:00Z,8,127.99
2023-10-10T22:00Z,9,136.86
2023-10-10T22:00Z,10,114.61
2023-10-10T22:00Z,11,86.25
2023-10-10T22:00Z,12,80.00
2023-10-10T22:00Z,13,61.10
2023-10-10T22:00Z,14,48.12
2023-10-10T22:00Z,15,21.54
2023-10-10T22:00Z,16,41.63
2023-10-10T22:00Z,17,62.00
2023-10-10T22:00Z,18,104.33
2023-10-10T22:00Z,19,129.69
2023-10-10T22:00Z,20,141.14
2023-10-10T22:00Z,21,129.30
2023-10-10T22:00Z,22,109.79
2023-10-10T22:00Z,23,109.30
2023-10-10T22:00Z,24,104.00
